706F	7431
7070	7439
7071	7453
7072	7440
7073	7443
7074	744D
7075	7452
7076	745D
7077	7471
7078	7481
7079	7485
707A	7488
707B	24A4D
707C	7492
707D	7497
707E	7499
7121	74A0
7122	74A1
7123	74A5
7124	74AA
7125	74AB
7126	74B9
7127	74BB
7128	74BA
7129	74D6
712A	74D8
712B	74DE
712C	74EF
712D	74EB
712E	24B56
712F	74FA
7130	24B6F
7131	7520
7132	7524
7133	752A
7134	3F57
7135	24C16
7136	753D
7137	753E
7138	7540
7139	7548
713A	754E
713B	7550
713C	7552
713D	756C
713E	7572
713F	7571
7140	757A
7141	757D
7142	757E
7143	7581
7144	24D14
7145	758C
7146	3F75
7147	75A2
7148	3F77
7149	75B0
714A	75B7
714B	75BF
714C	75C0
714D	75C6
714E	75CF
714F	75D3
7150	75DD
7151	75DF
7152	75E0
7153	75E7
7154	75EC
7155	75EE
7156	75F1
7157	75F9
7158	7603
7159	7618
715A	7607
715B	760F
715C	3FAE
715D	24E0E
715E	7613
715F	761B
7160	761C
7161	24E37
7162	7625
7163	7628
7164	763C
7165	7633
7166	24E6A
7167	3FC9
7168	7641
7169	24E8B
716A	7649
716B	7655
716C	3FD7
716D	766E
716E	7695
716F	769C
7170	76A1
7171	76A0
7172	76A7
7173	76A8
7174	76AF
7175	2504A
7176	76C9
7177	25055
7178	76E8
7179	76EC
717A	25122
717B	7717
717C	771A
717D	772D
717E	7735
7221	251A9
7222	4039
7223	251E5
7224	251CD
7225	7758
7226	7760
7227	776A
7228	2521E
7229	7772
722A	777C
722B	777D
722C	2524C
722D	4058
722E	779A
722F	779F
7230	77A2
7231	77A4
7232	77A9
7233	77DE
7234	77DF
7235	77E4
7236	77E6
7237	77EA
7238	77EC
7239	4093
723A	77F0
723B	77F4
723C	77FB
723D	2542E
723E	7805
723F	7806
7240	7809
7241	780D
7242	7819
7243	7821
7244	782C
7245	7847
7246	7864
7247	786A
7248	254D9
7249	788A
724A	7894
724B	78A4
724C	789D
724D	789E
724E	789F
724F	78BB
7250	78C8
7251	78CC
7252	78CE
7253	78D5
7254	78E0
7255	78E1
7256	78E6
7257	78F9
7258	78FA
7259	78FB
725A	78FE
725B	255A7
725C	7910
725D	791B
725E	7930
725F	7925
7260	793B
7261	794A
7262	7958
7263	795B
7264	4105
7265	7967
7266	7972
7267	7994
7268	7995
7269	7996
726A	799B
726B	79A1
726C	79A9
726D	79B4
726E	79BB
726F	79C2
7270	79C7
7271	79CC
7272	79CD
7273	79D6
7274	4148
7275	257A9
7276	257B4
7277	414F
7278	7A0A
7279	7A11
727A	7A15
727B	7A1B
727C	7A1E
727D	4163
727E	7A2D
7321	7A38
7322	7A47
7323	7A4C
7324	7A56
7325	7A59
7326	7A5C
7327	7A5F
7328	7A60
7329	7A67
732A	7A6A
732B	7A75
732C	7A78
732D	7A82
732E	7A8A
732F	7A90
7330	7AA3
7331	7AAC
7332	259D4
7333	41B4
7334	7AB9
7335	7ABC
7336	7ABE
7337	41BF
7338	7ACC
7339	7AD1
733A	7AE7
733B	7AE8
733C	7AF4
733D	25AE4
733E	25AE3
733F	7B07
7340	25AF1
7341	7B3D
7342	7B27
7343	7B2A
7344	7B2E
7345	7B2F
7346	7B31
7347	41E6
7348	41F3
7349	7B7F
734A	7B41
734B	41EE
734C	7B55
734D	7B79
734E	7B64
734F	7B66
7350	7B69
7351	7B73
7352	25BB2
7353	4207
7354	7B90
7355	7B91
7356	7B9B
7357	420E
7358	7BAF
7359	7BB5
735A	7BBC
735B	7BC5
735C	7BCA
735D	25C4B
735E	25C64
735F	7BD4
7360	7BD6
7361	7BDA
7362	7BEA
7363	7BF0
7364	7C03
7365	7C0B
7366	7C0E
7367	7C0F
7368	7C26
7369	7C45
736A	7C4A
736B	7C51
736C	7C57
736D	7C5E
736E	7C61
736F	7C69
7370	7C6E
7371	7C6F
7372	7C70
7373	25E2E
7374	25E56
7375	25E65
7376	7CA6
7377	25E62
7378	7CB6
7379	7CB7
737A	7CBF
737B	25ED8
737C	7CC4
737D	25EC2
737E	7CC8
7421	7CCD
7422	25EE8
7423	7CD7
7424	25F23
7425	7CE6
7426	7CEB
7427	25F5C
7428	7CF5
7429	7D03
742A	7D09
742B	42C6
742C	7D12
742D	7D1E
742E	25FE0
742F	25FD4
7430	7D3D
7431	7D3E
7432	7D40
7433	7D47
7434	2600C
7435	25FFB
7436	42D6
7437	7D59
7438	7D5A
7439	7D6A
743A	7D70
743B	42DD
743C	7D7F
743D	26017
743E	7D86
743F	7D88
7440	7D8C
7441	7D97
7442	26060
7443	7D9D
7444	7DA7
7445	7DAA
7446	7DB6
7447	7DB7
7448	7DC0
7449	7DD7
744A	7DD9
744B	7DE6
744C	7DF1
744D	7DF9
744E	4302
744F	260ED
7450	FA58
7451	7E10
7452	7E17
7453	7E1D
7454	7E20
7455	7E27
7456	7E2C
7457	7E45
7458	7E73
7459	7E75
745A	7E7E
745B	7E86
745C	7E87
745D	432B
745E	7E91
